id,studytime,bottest_filter,comp1,comp2,fairQ,fairQ_rt,dg1,dg1_rt,dg2,dg2_rt,dg3,dg3_rt,dg4,dg4_rt,dg5,dg5_rt,num1,num2,num3,num4,num5,num6,num7,num8a,num8b,num9,num10,num11,num12,num13,num14,test,Guess,memQrt,conf,pos,hap,goodness,moral,sd_1,sd_2,sd_3,sd_4,sd_5,sd_6,sd_7,sd_8,sd_9,sd_10,gender,age,deception1,deception2,feedback_excl,Numeracy
277,0:06,1,1,1,10,9.957,10,7.588,0,3.333,0,1.961,0,1.687,0,1.606,500,10,0.1,1,2,2,2,10,100,20,5,1,50,100,1,1,2,4.683,7,6,4,6,6,1,1,1,1,0,0,1,1,0,0,2,25,4,1,1,11
278,0:12,1,1,0,10,8.359,10,4.81,10,2.893,10,5.093,40,2.093,50,6.147,500,10,0.1,1,2,2%,2,10,100,20,5,1,9%,64%,1,1,24,24.173,7,4,4,5,5,1,1,1,1,1,0,0,1,1,1,1,41,4,1,1,12
279,0:08,1,1,1,30,8.804,40,6.545,40,2.651,40,3.647,40,2.219,40,3.183,500,10,0.1,1,2,2,2,10,100,20,5,1,50,64,1,1,40,4.436,6,4,3,5,5,0,0,0,0,0,0,0,0,0,0,1,55,4,1,1,12
280,0:11,1,0,0,20,6.621,20,3.876,20,4.935,10,3.176,40,3.28,40,6.146,500,10%,10%,3,2,2%,2 in 100,1,10,20,1,1,10,64,2,1,25,3.935,5,4,4,4,4,1,1,1,1,1,1,1,1,1,0,2,24,4,1,1,8
281,0:09,1,1,1,30,11.006,30,7.235,30,2.697,40,2.348,20,2.362,30,1.836,500,10,0.1,1,2,2,2,10,100,20,5,1,0.5,64,1,1,30,36.065,7,7,6,7,7,1,1,1,0,0,1,0,0,0,0,1,25,4,1,1,12
282,0:14,1,1,0,30,15.831,40,6.441,40,4.642,40,3.284,40,3.028,40,2.08,500,100,0.1,2,1,2,2 in 100,10,100,20,1,1,9,64,3,1,40,6.917,7,4,4,7,7,1,1,1,1,1,1,1,1,0,1,2,24,4,1,1,9
283,0:12,1,1,1,50,55.094,50,4.575,50,1.958,50,3.973,50,2.727,50,3.111,500,10,0.1,1,2,10%,1 in 50,1,10,20,1,1,90%,64%,1,1,50,7.24,7,4,4,5,5,0,1,0,0,0,0,0,0,0,0,1,36,4,1,1,9
284,0:07,1,1,0,50,4.983,20,3.6,30,4.88,30,2.975,30,3.303,30,2.055,500,10,0.001,1,2,2,1 in 10,10,100,20,5,1,90 percent,64,1,1,30,4.978,7,7,7,7,7,1,1,1,1,0,0,1,0,1,1,1,37,4,1,1,13
285,0:12,1,1,1,10,7.702,10,7.223,10,3.709,10,3.159,50,6.306,0,1.7,500,10,10,1,2,2,20,10,100,20,5,1,10,64,1,1,16,44.96,6,6,6,7,7,1,1,1,1,1,1,0,1,0,0,2,44,4,1,1,11
286,0:11,1,1,1,10,11.053,50,4.302,40,2.437,50,2.943,50,2.419,40,2.794,500,10,0.05,1,2,2,2,1,10,20,5,1,80,128,1,1,45,10.073,6,5,5,6,6,1,1,1,0,0,0,1,0,0,0,2,55,4,1,1,9
287,0:19,1,1,1,0,12.143,0,5.652,0,3.989,0,3.284,0,2.286,0,2.75,500,10,0.1,1,2,2%,2,10,100,20,5,1,50%,64%,3,1,0,8.622,7,4,5,5,5,0,0,0,0,0,0,0,0,1,0,1,35,4,1,1,11
288,0:13,1,1,1,10,29.211,10,3.957,10,1.971,10,1.88,10,1.542,10,1.48,600,10,0.1,1,2,2,2,10,100,20,5,1,9 in 10,128,1,1,10,6.804,7,4,4,3,3,0,0,0,0,0,0,0,0,0,0,2,26,4,1,1,11
289,0:11,1,1,1,30,7.061,30,10.002,30,2.31,30,2.057,30,3.193,30,2.067,500,10,0.001,1,2,2%,1 in 50,10,100,20,5,1,18 in 100,100%,3,1,30,7.021,7,6,5,5,5,1,1,1,0,0,0,1,1,0,0,2,27,4,1,1,11
290,0:10,1,1,0,0,9.75,0,2.28,0,1.917,0,1.828,0,2.025,0,1.76,500,10,0.1,1,2,2,2,10,100,20,5,1,50%,64,1,1,0,2.358,7,5,5,5,4,1,1,1,1,1,1,0,1,0,0,2,45,4,1,1,12
291,0:25,1,1,1,0,16,0,3.973,0,76.631,0,3.334,0,3.185,0,3.06,500,10,0.1,1,2,2%,2 in 100,10,100,20,5,1,50,0.64,1,1,0,7.196,7,4,4,4,4,1,1,1,0,1,1,0,0,0,0,1,29,4,1,1,12
292,0:08,1,1,1,10,8.416,10,4.136,0,4.117,20,4.318,0,2.702,0,2.175,500,10,1,1,2,2,2,10,100,20,1,1,80,128,1,1,11,5.139,3,3,5,5,5,1,1,1,0,1,1,1,1,0,1,2,23,4,1,1,10
293,0:12,1,1,1,40,21.03,50,5.524,50,2.588,50,1.765,50,1.456,50,2.751,500,10,0.1,1,2,2,2 in 100,10,100,20,5,1,50,64,3,1,50,5.082,7,2,3,4,5,0,0,0,0,0,0,0,1,0,0,2,40,4,1,1,11
294,0:11,1,1,1,20,11.149,30,7.29,40,2.445,20,2.518,10,3.409,20,2.082,500,10,0.1,1,2,2,2 in 100,10,100,20,5,1,50%,64%,1,1,24,9.205,7,6,5,5,6,0,1,0,0,0,1,0,0,0,0,1,36,4,1,1,12
295,0:19,1,1,1,0,11.394,0,6.008,0,5.295,0,2.851,0,4.793,0,4.967,500,0.01,0.01,1,2,1 in 50,1 in 25,10,100,20,50,1,20,64,1,1,0,5.715,7,5,4,7,7,1,1,1,0,0,1,0,0,0,0,1,32,4,1,1,8
296,0:08,1,1,0,40,10.975,50,13.156,40,3.041,50,2.341,40,2.098,50,2.645,500,10,0.1,1,2,1% in five years,1 in 100 in five years,10,100,20,5,1,10%,64,3,1,45,9.064,6,6,6,5,5,1,1,1,0,1,1,1,1,1,1,1,23,4,1,1,10
297,0:07,1,1,0,80,1.264,30,3.186,60,2.076,60,1.983,70,1.336,90,1.92,100,10,10,1,2,2,10,10,100,20,5,1,2,5,1,0,60,1.393,6,6,7,6,6,1,0,0,1,1,0,0,1,1,0,1,27,4,1,1,9
298,0:12,1,1,1,0,10.522,0,13.405,10,14.643,0,4.774,10,4.511,0,2.946,2,1,1,1,2,2,2,1,10,2,50,1,1,16,2,1,2,15.765,2,2,4,7,7,1,1,1,1,1,0,1,1,1,1,2,53,4,1,1,4
299,0:23,1,1,0,0,17.69,0,5.672,0,2.548,0,1.988,0,3.787,0,2.707,500,10000,0.5,1,2,1,1,10,5,20,10,2,10,16,1,0,18,13.325,1,6,7,7,7,1,1,1,1,1,0,0,0,0,0,1,47,4,1,1,5
300,0:19,1,1,1,40,8.788,40,4.37,40,2.847,40,2.258,50,3.414,50,2.092,500,10,0.1,1,2,2,2 in 100 in ten years,10,100,20,5,1,78,100,3,1,45,5.309,7,5,6,4,4,1,1,0,0,1,0,1,1,0,1,2,55,4,1,1,10
301,0:10,1,1,0,10,10.121,30,4.204,30,4.292,10,2.715,20,3.059,30,4.342,500,1,0.01,1,2,2,2,10,100,20,5,1,10%,64%,3,1,25,5.86,3,3,4,6,7,1,1,1,0,0,1,0,1,0,1,2,25,4,1,1,10
302,0:10,1,1,1,20,4.201,50,23.599,40,3.86,40,4.577,30,2.161,30,1.579,500,10,0.01,1,2,2,Jan-50,10,100,20,5,1,0.01,64,3,1,39,4.153,5,3,3,5,4,1,1,0,0,0,0,0,0,0,1,1,30,4,1,1,11
303,0:07,1,0,0,10,5.853,30,7.655,10,4.405,50,2.732,0,2.988,100,2.816,600,10,10,1,2,2,1 in 50,10,100,20,1,1,5,16,2,1,50,5.128,3,6,6,6,4,1,1,1,1,0,1,0,1,1,1,2,52,4,1,1,8
304,0:11,1,1,1,0,8.927,0,3.482,0,2.614,0,2.658,0,3.771,0,2.22,500,10,0.1,1,2,1% in 5 years,1 in 100 in 5 years,10,100,20,5,1,90,64,1,1,0,4.04,7,6,5,6,6,1,1,1,1,1,0,1,1,0,0,1,30,4,1,1,11
305,0:11,1,1,1,50,11.259,50,11.415,50,3.713,50,3.718,50,2.859,50,4.692,500,10,0.1,1,2,2,2,10,100,20,5,1,50,64,1,1,50,5.521,7,5,5,6,6,1,1,0,0,0,1,0,1,0,0,1,41,4,1,1,12
306,0:21,1,1,1,50,22.835,50,6.986,10,11.067,10,3.096,10,3.914,10,3.486,600,10,1%,1,2,2%,2 in 100,10,1,20,5,1,50%,64%,1,1,18,82.281,7,6,6,7,7,1,1,0,1,0,1,1,1,0,0,2,51,4,1,1,10
307,0:13,1,1,1,50,7.699,50,5.91,50,5.175,50,5.071,50,2.958,50,2.589,500,10,0.1,1,2,2%,Jan-50,10,100,20,5,1,50%,64%,1,1,50,11.797,7,7,7,7,7,1,1,1,1,1,1,1,0,1,1,1,23,4,2,1,12
308,0:15,1,1,1,50,53.632,10,8.005,10,3.081,10,2.149,10,2.286,10,2.849,500,10,0.1,1,2,2%,2 in 100,10,100,20,1,1,50%,64%,3,1,10,8.485,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,47,4,1,1,10
309,0:09,1,1,1,50,10.218,50,4.626,50,2.64,50,2.357,50,2.365,50,2.028,500,10,0.1,1,2,2,2,1,10,20,5,1,90,16,3,1,50,2.337,7,7,7,7,7,1,1,1,1,1,1,1,1,0,1,1,28,4,1,1,8
310,0:16,1,1,1,30,11.085,30,17.127,30,5.509,30,9.01,30,27.55,30,3.896,500,1,1%,1,2,2%,2 in 100,10,100,20,1,1,1%,64%,3,1,30,6.263,7,6,6,6,6,1,1,1,0,0,0,1,1,0,1,2,52,4,1,1,9
311,0:10,1,1,1,10,11.084,50,5.851,50,2.231,50,2.013,50,1.935,50,2.407,688,1,1,1,2,2,2 in 100,10,100,20,500,1,10,50,3,1,50,6.549,7,6,6,7,7,1,1,1,1,1,0,1,1,1,1,2,49,4,1,1,7
312,0:13,1,1,1,50,11.436,50,4.669,50,3.671,50,3.155,50,3.591,50,2.825,500,10,10,1,2,2,2,10,100,20,3,1,90,64,3,1,50,5.109,7,7,7,7,7,1,1,1,1,1,0,1,1,1,1,2,23,4,1,1,10
313,0:17,1,1,1,10,14.931,30,9.633,50,5.28,50,2.287,0,6.192,50,1.695,500,100,1,1,2,2,2,10,100,20,10,1,10,64,1,1,28,7.466,3,5,5,7,6,1,1,1,0,0,0,0,1,0,0,2,36,4,1,1,10
314,0:14,1,1,1,20,6.927,20,6.372,20,6.117,20,3.918,20,2.526,20,11.532,500,10,0.1,1,2,2%,2 in 100,10,100,20,5,1,50%,64%,3,1,20,7.252,7,6,7,6,5,1,1,1,0,1,1,1,0,1,1,1,27,4,1,1,11
315,0:11,1,1,1,10,20.79,30,5.374,40,4.173,30,3.303,30,3.7,40,2.805,500,10,1,1,2,2,2,10,100,20,5,1,9 in 100,64,3,1,32,13.236,4,6,6,7,7,1,1,1,1,0,1,1,1,0,0,1,36,4,1,1,11
316,0:17,1,1,1,50,12.838,50,8.917,50,11.775,0,5.478,0,5.838,50,5.314,500,10,0.1,1,2,2%,2 in 100,10,100,20,5,1,1.80%,64%,3,1,30,39.78,6,7,4,6,6,1,1,0,0,0,1,0,1,0,0,2,51,4,1,1,11
317,0:11,1,1,0,10,6.842,50,2.804,50,2.94,20,1.995,30,2.16,60,2.068,500,10,0.01,1,2,1% in 5yers,1 in 50,10,100,20,5,1,90,64,3,1,42,28.376,7,5,6,5,6,1,1,1,0,1,1,1,1,1,0,1,43,4,1,1,11
