id,Age,AveRT,CondNum,DG1,DG2,DG3,DG4,DG5,DGAverage,DG.stdev,DGAverage.split,Edu,FairOffer,FairRT,FairVsActual,GenderNum,Guess,GuessRole,GuessVsAve,IRI.EC,IRI.FS,IRI.PD,IRI.PT,IRI.Tot,KnowNum,MemCond,MemExclude,NPNum,Numeracy,Session,Subject,condition,gender,knowledge,numPic
105,24,9548,4,20,20,20,20,20,20,0,1,5,0,21957,-2,1,20,7,0,14,14,15,21,64,2,1,0,2,1,12,243,3,1,1,1
106,22,12519.4,4,0,0,0,0,0,0,0,1,3,0,69867,0,2,0,5,0,18,13,15,19,65,2,1,0,2,0.91,2,194,3,2,1,1
107,21,5000.2,4,30,30,40,50,30,36,0.89,2,3,50,12066,1.4,2,38,5,2,15,10,19,21,65,2,1,0,2,1,5,215,3,2,1,1
108,22,12228.2,4,30,30,30,30,30,30,0,2,3,30,48885,0,2,30,1,0,16,16,19,18,69,2,2,0,2,0.82,5,210,3,2,1,1
109,22,17185,4,40,40,50,30,30,38,0.84,2,3,40,22464,0.2,1,40,4,2,25,11,10,23,69,2,2,0,2,0.82,8,225,3,1,1,1
110,26,8992.6,4,40,40,40,40,40,40,0,2,5,40,54377,0,1,40,2,0,17,22,14,17,70,2,1,0,2,0.73,9,231,3,1,1,1
111,25,11397.6,4,20,20,20,20,20,20,0,1,4,20,24740,0,1,20,4,0,23,17,15,18,73,2,1,0,2,1,6,217,3,1,1,1
112,23,14047.4,4,30,30,0,30,30,24,1.34,2,3,30,48531,0.6,1,30,6,6,20,18,10,25,73,2,1,0,2,0.91,12,242,3,1,1,1
113,24,5172.6,4,20,20,20,20,20,20,0,1,3,20,,0,2,20,4,0,20,19,18,19,76,2,2,0,2,1,5,214,3,2,1,1
114,20,10724.8,4,50,50,50,50,50,50,0,2,3,50,39104,0,1,50,1,0,20,18,18,22,78,2,1,0,2,0.91,11,237,3,1,1,1
115,,15739.2,4,50,40,40,40,30,40,0.71,2,3,50,29483,1,1,45,3,5,21,18,17,23,79,2,2,0,2,0.91,7,220,3,1,1,1
116,21,5274,4,20,10,20,0,40,18,1.48,1,3,20,13507,0.2,2,20,4,2,24,15,21,20,80,2,2,0,2,1,10,235,3,2,1,1
117,21,7913.4,4,50,40,30,40,50,42,0.84,2,3,30,58781,-1.2,1,42,2,0,20,23,15,24,82,2,1,1,2,0.91,11,239,3,1,1,1
118,27,10477.4,4,20,20,20,20,20,20,0,1,6,20,40837,0,1,20,4,0,25,24,8,26,83,2,1,0,2,0.91,11,236,3,1,1,1
119,20,16240.6,4,40,50,50,40,10,38,1.64,2,3,40,51721,0.2,1,37,1,-1,27,17,13,26,83,2,1,0,2,0.91,10,234,3,1,1,1
120,23,10241.4,4,40,50,40,50,60,48,0.84,2,3,40,42970,-0.8,1,50,3,2,20,24,19,21,84,2,1,0,2,0.91,9,228,3,1,1,1
121,23,93606.2,4,60,40,30,10,20,32,1.92,2,5,30,,-0.2,1,34,4,2,20,24,26,18,88,2,2,0,2,1,6,216,3,1,1,1
122,20,14748.2,4,50,50,50,50,50,50,0,2,3,50,45102,0,1,50,4,0,26,26,14,25,91,2,2,0,2,0.91,9,227,3,1,1,1
123,20,9629.8,4,0,0,0,0,0,0,0,1,3,0,,0,1,0,1,0,28,26,19,20,93,2,2,0,2,1,13,245,3,1,1,1
124,21,9075.2,4,50,50,50,40,50,48,0.45,2,2,30,28906,-1.8,1,48,4,0,27,27,19,21,94,2,1,0,2,1,8,224,3,1,1,1
125,44,9061.2,4,50,50,50,50,50,50,0,2,1,50,17467,0,1,50,1,0,27,28,17,30,102,2,2,0,2,0.91,10,233,3,1,1,1
126,21,9727.8,1,20,30,80,20,30,36,2.51,2,3,40,27014,0.4,1,30,6,-6,9,4,14,20,47,1,1,0,1,0.64,2,10,2,1,2,2
127,22,16682,1,70,50,50,70,50,58,1.1,2,3,70,35995,1.2,2,60,3,2,18,10,11,17,56,1,1,0,1,1,2,9,2,2,2,2
128,20,16769.6,1,0,40,20,30,0,18,1.79,1,3,40,,2.2,1,20,1,2,19,12,13,14,58,1,2,0,1,1,7,31,2,1,2,2
129,23,12045.4,1,10,60,70,50,20,42,2.59,2,3,10,36235,-3.2,2,30,4,-12,13,14,13,19,59,1,2,0,1,1,13,61,2,2,2,2
130,23,8881,1,0,0,0,0,0,0,0,1,3,0,,0,2,0,7,0,16,14,11,19,60,1,2,0,1,1,5,22,2,2,2,2
131,20,8059.2,1,0,0,0,0,0,0,0,1,3,0,27128,0,2,0,6,0,9,21,15,15,60,1,2,0,1,0.91,13,60,2,2,2,2
132,21,10160.2,1,50,50,50,50,50,50,0,2,3,50,58832,0,1,50,4,0,24,15,13,14,66,1,2,0,1,1,3,15,2,1,2,2
133,27,23761.4,1,0,0,0,0,0,0,0,1,5,0,49545,0,2,10,4,10,14,15,17,21,67,1,1,0,1,0.91,6,28,2,2,2,2
134,22,10901.8,1,0,0,0,0,0,0,0,1,3,0,26404,0,1,1,7,1,19,16,12,23,70,1,2,0,1,0.82,8,38,2,1,2,2
135,21,10494.2,1,10,0,10,0,10,6,0.55,1,3,0,31728,-0.6,2,15,2,9,19,18,8,27,72,1,2,0,1,1,9,42,2,2,2,2
